Nivel de Bloom,Resultado de Aprendizaje
Conocimiento,Nombrar los conceptos fundamentales de gamificación.
Aplicación,Demostrar los conceptos fundamentales de procesamiento del lenguaje natural.
Análisis,Separar los conceptos fundamentales de compiladores.
Evaluación,Criticar los conceptos fundamentales de robótica.
Evaluación,Validar los conceptos fundamentales de teoría de autómatas.
Síntesis,Formular los conceptos fundamentales de ética informática.
Aplicación,Usar los conceptos fundamentales de lenguajes de programación.
Evaluación,Comparar los conceptos fundamentales de inteligencia artificial.
Comprensión,Explicar los conceptos fundamentales de redes de computadoras.
Comprensión,Indicar los conceptos fundamentales de bioinformática.
Evaluación,Comparar los conceptos fundamentales de realidad virtual.
Síntesis,Formular los conceptos fundamentales de ingeniería de software.
Análisis,Detectar los conceptos fundamentales de blockchain.
Evaluación,Validar los conceptos fundamentales de robótica.
Aplicación,Demostrar los conceptos fundamentales de criptografía.
Análisis,Evaluar los conceptos fundamentales de aprendizaje automático.
Comprensión,Mostrar los conceptos fundamentales de metodologías ágiles.
Conocimiento,Señalar los conceptos fundamentales de aprendizaje automático.
Síntesis,Desarrollar los conceptos fundamentales de simulación por computadora.
Conocimiento,Listar los conceptos fundamentales de robótica.
Análisis,Separar los conceptos fundamentales de algoritmos.
Comprensión,Indicar los conceptos fundamentales de computación cuántica.
Conocimiento,Listar los conceptos fundamentales de sistemas distribuidos.
Síntesis,Integrar los conceptos fundamentales de bioinformática.
Evaluación,Validar los conceptos fundamentales de blockchain.
Conocimiento,Describir los conceptos fundamentales de procesamiento del lenguaje natural.
Síntesis,Proponer los conceptos fundamentales de computación ubicua.
Evaluación,Examinar los conceptos fundamentales de análisis de algoritmos.
Evaluación,Argumentar los conceptos fundamentales de sistemas expertos.
Comprensión,Indicar los conceptos fundamentales de inteligencia artificial.
Conocimiento,Definir los conceptos fundamentales de robótica.
Aplicación,Modificar los conceptos fundamentales de informática forense.
Evaluación,Argumentar los conceptos fundamentales de teoría de autómatas.
Aplicación,Usar los conceptos fundamentales de teoría de autómatas.
